1. Как, по легенде, звали брата-близнеца основоположника итальянской столицы – Ромула?;Рама;+ Рем;Рид
2. Кто вскормил своим молоком новорожденного Зевса, оставленного на Крите на произвол судьбы?;Волчица;+ Коза;Корова
3. Где, по приказу, богов был прикован герой Прометей?;+ Кавказские горы;Вулкан Везувий;Гора Олимп
4. Кем, по мнению древних славян, был Анчутка?;Домовой;Леший;+ Чертенок
5. В облике, какого животного древние египтяне изображали Анубиса – покровителя мертвых?;Крокодила;Леопарда;+ Шакала
6. Как назывался напиток, дарующий богам вечную молодость и бессмертие, согласно греческой мифологии?;+ Амброзия;Амбра;Амрита
7. Основательницей монархической династии, в какой стране считается богиня Аматэрасу?;Китай;+ Япония;Индия
8. Что помогло древнеэллинскому герою Тезею найти путь к выходу в запутанном Кносском лабиринте?;+ Нить;Факел;Мел
9. В какое растение, по греческой легенде, превратился юноша, влюбленный в собственное отражение?;Кипарис;+ Нарцисс;Гиацинт
10. Как древние римляне именовали богиню утренней зари?;+ Аврора;Аза;Аид
